@relation train

@attribute $EO1 numeric
@attribute $EO2 numeric
@attribute $EO3 numeric
@attribute $EO4 numeric
@attribute $EO5 numeric
@attribute @@class@@ {EO,non}

@data
0,0,181,181,1,EO
1,2,276,290,1,EO
1,1,16,22,0,EO
1,1,16,22,0,EO
0,1,107,107,1,EO
1,13,1980,1980,1,EO
1,186,18148,18254,1,EO
1,5,2952,2966,1,EO
1,0,53,72,0,EO
1,3,430,462,1,EO
1,7,506,511,1,EO
1,7,2166,2166,1,EO
1,7,622,646,1,EO
1,10,1691,1700,1,EO
1,72,11064,11229,1,EO
1,186,18148,18254,1,EO
1,72,11064,11229,1,EO
1,12,2368,2376,1,EO
1,19,11533,11550,1,EO
1,0,157,157,1,EO
1,0,37,37,1,EO
1,5,1501,3027,0,EO
0,0,10000,10126,1,EO
1,4,1789,1824,1,EO
1,52,52,162,0,EO
1,52,52,162,0,EO
1,6,705,710,1,EO
1,13,113,573,0,EO
1,13,113,573,0,EO
1,5,63,231,0,EO
1,1,5361,5363,1,EO
1,1,1909,1922,1,EO
0,0,111,113,1,EO
1,7,4515,4547,1,EO
0,102,9106,9180,1,EO
0,1,413,431,1,EO
1,0,52,57,1,EO
0,2,852,852,1,EO
0,1,572,574,1,EO
0,21,4254,4314,1,EO
0,34,5973,5997,1,EO
1,4344,4310,4359,1,EO
1,1,205,217,1,EO
1,1,689,691,1,EO
1,5,418,418,1,EO
1,6,425,430,1,EO
1,19,11533,11550,1,EO
1,21,2828,2868,1,EO
1,3,228,239,1,EO
1,1,510,514,1,EO
1,3,231,233,1,EO
1,3,1381,1411,1,EO
1,86,9041,9082,1,EO
1,4,304,330,1,EO
0,2,97,161,0,EO
0,57,481,486,1,EO
0,3,1074,1097,1,EO
0,3,74,87,0,EO
1,42,5672,5756,1,EO
1,5,622,634,1,EO
1,0,62,62,1,EO
1,0,62,62,1,EO
0,22,4910,4963,1,EO
0,3,633,557,1,EO
0,17,7569,8070,1,EO
0,4,584,592,1,EO
0,2,444,459,1,EO
0,1,96,101,1,EO
1,120,13438,13454,1,EO
0,12,2574,2580,1,EO
0,2,422,472,0,EO
1,1,109,123,0,EO
1,0,309,309,1,EO
0,0,0,104,0,non
0,0,0,56,0,non
0,0,0,995,0,non
0,0,0,384,0,non
0,0,0,92,0,non
0,0,0,35,0,non
0,0,0,1000,0,non
0,0,0,1239,0,non
0,0,0,100,0,non
0,0,0,82,0,non
0,0,20,127,0,non
0,6,0,364,0,non
0,0,0,93,0,non
0,0,0,79,0,non
0,0,0,52,0,non
0,0,0,143,0,non
0,0,0,2298,0,non
0,0,0,20,0,non
0,0,0,339,0,non
0,0,0,3,0,non
0,0,0,850,0,non
0,0,0,5158,0,non
0,0,0,64,0,non
0,0,0,55,0,non
0,0,0,605,0,non
0,0,0,3,0,non
0,0,0,61,0,non
0,0,0,314,0,non
0,0,0,8,0,non
0,0,0,660,0,non
0,0,0,172,0,non
0,0,0,69,0,non
0,0,0,53,0,non
0,0,0,122,0,non
0,0,0,28,0,non
0,0,0,85,0,non
0,0,0,53,0,non
0,0,0,40,0,non
0,0,0,88,0,non
0,0,0,2,0,non
0,0,0,40,0,non
0,0,0,323,0,non
0,0,0,21,0,non
0,0,0,636,0,non
0,0,0,1391,0,non
0,0,0,110,0,non
0,0,0,125,0,non
0,0,0,24,0,non
0,0,0,70,0,non
0,0,0,12,0,non
0,0,0,117,0,non
0,0,0,1,0,non
0,0,0,1,0,non
0,0,0,554,0,non
0,0,0,114,0,non
0,0,0,1129,0,non
0,0,0,8,0,non
0,0,0,407,0,non
0,0,0,73,0,non
0,0,0,27,0,non
0,0,0,34,0,non
0,0,0,5,0,non
0,0,0,12,0,non
0,0,0,95,0,non
0,0,0,746,0,non
0,0,0,155,0,non
0,0,0,18,0,non
0,0,0,96,0,non
0,0,0,183,0,non
0,0,0,1059,0,non
0,0,0,367,0,non
0,0,0,2287,0,non
0,17,0,5384,0,non
0,0,0,218,0,non
0,0,0,137,0,non
0,0,0,119,0,non
0,0,0,972,0,non
0,0,0,271,0,non
0,0,1,263,0,non
0,0,0,123,0,non
